Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
201,Trai Hume,nir NIR,"DF,MF",Sunderland,23-298,2002,21,19,1743,19.4,0,1,1,0,0,0,5,0,0.7,0.7,1.0,1.7,18,54,49,0.00,0.05,0.05,0.00,0.05,0.04,0.05,0.09,0.04,0.09,Matches
202,Bashir Humphreys,eng ENG,DF,Burnley,22-301,2003,5,3,349,3.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,5,12,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
203,Omari Hutchinson,eng ENG,FW,Nott'ham Forest,22-072,2003,16,8,884,9.8,1,2,3,1,0,0,0,0,1.6,1.6,2.3,3.9,46,22,95,0.10,0.20,0.31,0.10,0.31,0.16,0.23,0.39,0.16,0.39,Matches
204,Igor,br BRA,DF,West Ham,27-337,1998,4,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
205,Tim Iroegbunam,eng ENG,MF,Everton,22-194,2003,17,11,929,10.3,0,2,2,0,0,0,7,0,0.4,0.4,0.6,1.0,12,28,20,0.00,0.19,0.19,0.00,0.19,0.04,0.06,0.10,0.04,0.10,Matches
206,Andy Irving,sct SCO,MF,West Ham,25-242,2000,7,2,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,12,2,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
207,Alexander Isak,se SWE,FW,Liverpool,26-111,1999,10,6,504,5.6,2,1,3,2,0,0,0,0,2.0,2.0,0.6,2.6,6,8,24,0.36,0.18,0.54,0.36,0.54,0.37,0.11,0.47,0.37,0.47,Matches
208,Wilson Isidor,fr FRA,FW,Sunderland,25-136,2000,19,11,977,10.9,4,0,4,4,0,0,1,0,3.4,3.4,0.0,3.4,9,9,44,0.37,0.00,0.37,0.37,0.37,0.31,0.00,0.31,0.31,0.31,Matches
209,Alex Iwobi,ng NGA,"MF,FW",Fulham,29-252,1996,16,16,1328,14.8,2,2,4,2,0,0,2,0,0.8,0.8,2.1,2.8,51,86,69,0.14,0.14,0.27,0.14,0.27,0.05,0.14,0.19,0.05,0.19,Matches
210,Daniel James,wls WAL,FW,Leeds United,28-061,1997,10,4,354,3.9,0,0,0,0,0,0,0,0,0.7,0.7,0.6,1.4,17,10,41,0.00,0.00,0.00,0.00,0.00,0.19,0.16,0.35,0.19,0.35,Matches
211,Reece James,eng ENG,"DF,MF",Chelsea,26-033,1999,20,14,1365,15.2,2,4,6,2,0,0,4,0,0.9,0.9,3.2,4.0,18,84,31,0.13,0.26,0.40,0.13,0.40,0.06,0.21,0.27,0.06,0.27,Matches
212,Vitaly Janelt,de GER,MF,Brentford,27-245,1998,16,7,766,8.5,0,4,4,0,0,0,3,0,0.5,0.5,2.4,2.9,3,39,7,0.00,0.47,0.47,0.00,0.47,0.06,0.28,0.34,0.06,0.34,Matches
213,Mathias Jensen,dk DEN,"MF,FW",Brentford,30-009,1996,19,9,772,8.6,2,0,2,2,0,0,1,0,0.9,0.9,0.7,1.6,7,50,33,0.23,0.00,0.23,0.23,0.23,0.11,0.08,0.19,0.11,0.19,Matches
214,Gabriel Jesus,br BRA,FW,Arsenal,28-282,1997,6,0,122,1.4,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,8,3,10,0.74,0.00,0.74,0.74,0.74,0.36,0.00,0.36,0.36,0.36,Matches
215,Igor Jesus,br BRA,FW,Nott'ham Forest,24-319,2001,20,13,1148,12.8,1,1,2,1,0,0,0,0,3.4,3.4,1.2,4.6,10,18,69,0.08,0.08,0.16,0.08,0.16,0.27,0.10,0.36,0.27,0.36,Matches
216,Álex Jiménez,es ESP,"DF,FW",Bournemouth,20-247,2005,17,13,1155,12.8,0,0,0,0,0,0,5,0,0.5,0.5,0.3,0.8,46,50,41,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
217,Raúl Jiménez,mx MEX,FW,Fulham,34-250,1991,20,16,1310,14.6,5,3,8,4,1,1,4,0,5.6,4.8,1.3,6.1,8,29,62,0.34,0.21,0.55,0.27,0.48,0.38,0.09,0.47,0.33,0.42,Matches
218,Jamaldeen Jimoh,eng ENG,MF,Aston Villa,19-100,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
